customer_id,customer_name,gender,age,city,state,customer_segment,acquisition_date
CUST00003,Kunal Kumar,Female,46,Chennai,Tamil Nadu,Consumer,2024-01-13
CUST00005,Sneha Mehta,Male,36,Surat,Gujarat,Consumer,2023-04-07
CUST00006,Kavya Sharma,Female,25,Kolkata,West Bengal,Consumer,2024-04-19
CUST00011,Neha Malhotra,Female,32,Bhopal,Madhya Pradesh,Small Business,2022-03-30
CUST00012,Neha Joshi,Male,38,Guwahati,Assam,Consumer,2024-08-04
CUST00019,Rahul Sharma,Female,31,Kolkata,West Bengal,Corporate,2025-04-13
CUST00021,Kunal Mishra,Male,32,Bhopal,Madhya Pradesh,Small Business,2022-10-15
CUST00025,Kunal Verma,Female,19,Coimbatore,Tamil Nadu,Corporate,2024-08-19
CUST00029,Rahul Jain,Male,35,Bhopal,Madhya Pradesh,Corporate,2025-01-20
CUST00031,Kavya Verma,Female,21,Surat,Gujarat,Consumer,2023-02-14
CUST00032,Rohan Malhotra,Female,33,Ludhiana,Punjab,Small Business,2023-04-06
CUST00037,Amit Srivastava,Female,47,Kolkata,West Bengal,Small Business,2022-08-27
CUST00039,Meera Jain,Other,51,Mumbai,Maharashtra,Consumer,2024-06-22
CUST00040,Aditya Kumar,Female,18,Bengaluru,Karnataka,Corporate,2024-04-20
CUST00043,Pooja Singh,Female,34,Hyderabad,Telangana,Consumer,2022-03-27
CUST00047,Riya Patel,Male,45,Surat,Gujarat,Corporate,2024-04-21
CUST00048,Sneha Joshi,Male,37,Bhubaneswar,Odisha,Corporate,2024-05-30
CUST00049,Riya Patel,Female,60,Chennai,Tamil Nadu,Consumer,2025-03-02
CUST00053,Aditi Srivastava,Male,36,Ahmedabad,Gujarat,Consumer,2022-11-15
CUST00054,Isha Joshi,Male,49,Indore,Madhya Pradesh,Consumer,2025-03-13
CUST00055,Arjun Patel,Male,29,Indore,Madhya Pradesh,Consumer,2023-09-18
CUST00057,Nikhil Kumar,Female,19,Nagpur,Maharashtra,Corporate,2024-02-11
CUST00066,Meera Kumar,Female,57,Pune,Maharashtra,Consumer,2025-03-17
CUST00067,Aditya Agarwal,Female,45,Bhubaneswar,Odisha,Consumer,2023-02-17
CUST00075,Sneha Singh,Male,31,Hyderabad,Telangana,Corporate,2024-12-08
CUST00076,Arjun Agarwal,Female,42,Indore,Madhya Pradesh,Consumer,2022-02-27
CUST00080,Meera Srivastava,Male,23,Chennai,,Consumer,2024-12-23
CUST00081,Meera Malhotra,Female,42,Patna,Bihar,Consumer,2025-03-04
CUST00095,Rohan Yadav,Male,34,Bhubaneswar,Odisha,Small Business,2023-04-28
CUST00097,Vivaan Patel,Female,27,Dehradun,Uttarakhand,Corporate,2024-01-17
CUST00101,Vivaan Sharma,Male,47,Kolkata,West Bengal,Consumer,2022-12-15
CUST00102,Aditi Jain,Male,23,Ludhiana,Punjab,Consumer,2024-05-18
CUST00106,Neha Singh,Female,19,Coimbatore,Tamil Nadu,Consumer,2024-10-20
CUST00112,Riya Mehta,Male,26,Coimbatore,Tamil Nadu,Consumer,2023-12-19
CUST00116,Sneha Chauhan,Male,24,Nagpur,Maharashtra,Consumer,2023-08-26
CUST00120,Aditi Shah,Male,34,Jaipur,Rajasthan,Consumer,2022-03-27
CUST00125,Isha Verma,Male,36,Kolkata,West Bengal,Small Business,2024-02-11
CUST00128,Aditya Mishra,Male,36,Kochi,Kerala,Small Business,2024-04-21
CUST00132,Nikhil Gupta,Female,52,Nagpur,Maharashtra,Small Business,2024-07-15
CUST00133,Nikhil Mehta,Male,45,Delhi,Delhi,Corporate,2023-03-17
CUST00136,Kavya Kumar,Female,49,Mumbai,Maharashtra,Consumer,2022-01-09
CUST00137,Kunal Singh,Female,150,Bengaluru,Karnataka,Small Business,2022-03-17
CUST00140,Nikhil Mishra,Female,34,Surat,Gujarat,Consumer,2024-11-07
CUST00142,Vikram Mehta,Female,47,Ludhiana,Punjab,Corporate,2024-10-17
CUST00145,Isha Joshi,Female,28,Guwahati,Assam,Small Business,2024-12-27
CUST00146,Ananya Yadav,Male,36,Kolkata,West Bengal,Consumer,2023-01-06
CUST00151,Riya Shah,Female,35,Kolkata,West Bengal,Consumer,2024-08-02
CUST00152,Riya Malhotra,Male,33,Mumbai,Maharashtra,Corporate,2022-09-26
CUST00155,Meera Kapoor,Male,30,Surat,Gujarat,Consumer,2024-11-16
CUST00157,Vikram Yadav,Male,55,Jaipur,Rajasthan,Corporate,2022-04-01
